idx timestamp pi t2 t1+t3
51.5	1.52407e+09	3.14159	1.85454	0.138701	
52	1.52407e+09	3.14159	1.8497	0.11186	
52.5	1.52407e+09	3.14159	1.86105	0.134862	
53	1.52407e+09	3.14159	1.84792	0.150362	
53.5	1.52407e+09	3.14159	1.84003	0.133215	
54	1.52407e+09	3.14159	1.84877	0.148907	
54.5	1.52407e+09	3.14159	1.85715	0.0955303	
55	1.52407e+09	3.14159	1.84546	0.853824	
55.5	1.52407e+09	3.14159	1.85222	0.139649	
56	1.52407e+09	3.14159	1.84589	0.139924	
56.5	1.52407e+09	3.14159	1.84179	0.127315	
57	1.52407e+09	3.14159	1.85245	0.089529	
57.5	1.52407e+09	3.14159	1.84587	0.138578	
58	1.52407e+09	3.14159	1.85234	0.130924	
58.5	1.52407e+09	3.14159	1.83989	0.131689	
59	1.52407e+09	3.14159	1.8299	0.143996	
59.5	1.52407e+09	3.14159	1.85996	0.125996	
